(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
33:40.0,0,0,21,0
33:40.0,0,0,21,0
34:40.0,0,0,22,0
35:40.0,0,0,23,0
36:40.0,0,0,24,0
37:40.0,0,0,25,0
38:40.0,0,0,26,0
39:40.0,0,0,27,0
40:40.0,0,0,28,0
41:40.0,0,0,29,0
42:40.0,0,0,30,0
43:40.0,0,0,31,0
44:40.0,0,0,32,0
45:40.0,0,0,33,0
46:40.0,0,0,34,0
47:40.0,0,0,35,0
48:40.0,0,0,36,0
49:40.0,0,0,37,0
50:40.0,0,0,38,0
51:40.0,0,0,39,0
52:40.0,0,0,40,0
53:40.0,0,0,41,0
54:40.0,0,0,42,0
55:40.0,0,0,43,0
56:40.0,0,0,44,0
57:40.0,0,0,45,0
58:40.0,0,0,46,0
59:40.0,0,0,47,0
00:40.0,0,0,48,0
01:40.0,0,0,49,0
02:40.0,0,0,50,0
33:40.0,0,0,21,0
34:40.0,0,0,22,0
35:40.0,0,0,23,0
36:40.0,0,0,24,0
37:40.0,0,0,25,0
38:40.0,0,0,26,0
39:40.0,0,0,27,0
40:40.0,0,0,28,0
41:40.0,0,0,29,0
42:40.0,0,0,30,0
43:40.0,0,0,31,0
44:40.0,0,0,32,0
45:40.0,0,0,33,0
46:40.0,0,0,34,0
47:40.0,0,0,35,0
48:40.0,0,0,36,0
49:40.0,0,0,37,0
50:40.0,0,0,38,0
51:40.0,0,0,39,0
52:40.0,0,0,40,0
53:40.0,0,0,41,0
54:40.0,0,0,42,0
55:40.0,0,0,43,0
56:40.0,0,0,44,0
57:40.0,0,0,45,0
58:40.0,0,0,46,0
59:40.0,0,0,47,0
00:40.0,0,0,48,0
01:40.0,0,0,49,0
02:40.0,0,0,50,0
