(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
40:40.0,88,0,0,0
40:40.0,88,0,0,0
40:40.0,88,0,0,0
41:40.0,89,0,0,0
42:40.0,90,0,0,0
43:40.0,91,0,0,0
44:40.0,92,0,0,0
45:40.0,93,0,0,0
46:40.0,94,0,0,0
47:40.0,95,0,0,0
48:40.0,96,0,0,0
49:40.0,97,0,0,0
50:40.0,98,0,0,0
51:40.0,99,0,0,0
52:40.0,100,0,0,0
40:40.0,88,0,0,0
40:40.0,88,0,0,0
40:40.0,88,0,0,0
41:40.0,89,0,0,0
42:40.0,90,0,0,0
43:40.0,91,0,0,0
44:40.0,92,0,0,0
45:40.0,93,0,0,0
46:40.0,94,0,0,0
47:40.0,95,0,0,0
48:40.0,96,0,0,0
49:40.0,97,0,0,0
50:40.0,98,0,0,0
51:40.0,99,0,0,0
52:40.0,100,0,0,0
