(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
29:40.0,17,0,0,0
29:40.0,17,0,0,0
29:40.0,17,0,0,0
30:40.0,18,0,0,0
31:40.0,19,0,0,0
32:40.0,20,0,0,0
33:40.0,21,0,0,0
34:40.0,22,0,0,0
35:40.0,23,0,0,0
36:40.0,24,0,0,0
37:40.0,25,0,0,0
38:40.0,26,0,0,0
39:40.0,27,0,0,0
40:40.0,28,0,0,0
41:40.0,29,0,0,0
42:40.0,30,0,0,0
