(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
43:40.0,31,0,0,0
43:40.0,31,0,0,0
43:40.0,31,0,0,0
44:40.0,32,0,0,0
45:40.0,33,0,0,0
46:40.0,34,0,0,0
47:40.0,35,0,0,0
48:40.0,36,0,0,0
49:40.0,37,0,0,0
50:40.0,38,0,0,0
51:40.0,39,0,0,0
52:40.0,40,0,0,0
53:40.0,41,0,0,0
54:40.0,42,0,0,0
55:40.0,43,0,0,0
56:40.0,44,0,0,0
57:40.0,45,0,0,0
